(Área de Estudo: QUADRIMESTRAL - Estudo: 3º QUADRIMESTRE/2025 - Área de Carga: EC - Responsável: ONSCarga - Situação do Caso: Gerado Oficial  versão 01
(1) AC-ENERGISA AC - dez/2025 - Ajuste Hora: 18
DBAR
(Num)OETGb(   nome   )Gl( V)( A)( Pg)( Qg)( Qn)( Qm)(Bc  )( Pl)( Ql)(  Sh)Are(Vf)M(1)(2)(3)(4)(5)(6)(7)(8)(9)(10)
 6951  M                                                   17.4  5.7
 6952  M                                                   77.6  7.8
 6965  M                                                   53.9  9.8
 6975  M                                                   25.2  4.8
 6991  M                                                   12.0  3.8
 6992  M                                                    0.0  0.0
 7004  M                                                   21.8  3.9
 7017  M                                                   38.7 12.7
 7029  M                                                   20.2  3.9
 6951  M                          2.6  0.0                          
 6952  M                         12.2  0.0                          
 6965  M                         13.1  0.0                          
 6975  M                          6.9  0.0                          
 6991  M                          2.0  0.0                          
 7004  M                          5.1  0.0                          
 7017  M                          5.3  0.0                          
 7029  M                          3.4  0.0        
99999
EXLF 
(2)  DF-CEB D - dez/2025       
DBAR
(Num)OETGb(   nome   )Gl( V)( A)( Pg)( Qg)( Qn)( Qm)(Bc  )( Pl)( Ql)( Sh)Are(Vf)M(1)(2)(3)(4)(5)(6)(7)(8)(9)(10
 2503M                                                      0.4  0.1
 2504M                                                     15.1  1.1
 2517M                                                     51.2 12.6
 2535M                                                     67.3 24.0
 2586M                                                      4.2  0.7
 3601M                                                     52.7  8.3
 3602M                                                     58.6 11.5
 3603M                                                     52.1  9.2
 3604M                                                     76.2 14.5
 3605M                                                     38.7  5.6
 3607M                                                     18.5  3.8
 3608M                                                     15.4  3.0
 3609M                                                     43.4 15.2
 3611M                                                     33.9 14.2
 3612M                                                     39.5  9.1
 3613M                                                     41.0  6.0
 3614M                                                     36.8  5.6
 3615M                                                     33.8  3.7
 3616M                                                     42.8  7.6
 3617M                                                     21.3  2.6
 3619M                                                     14.0  2.5
 3620M                                                     42.8  7.7
 3621M                                                     22.9  4.7
 3622M                                                     19.0  3.3
 3625M                                                     41.3  2.6
 3626M                                                     42.7  7.4
 3627M                                                     21.8  5.9
 3628M                                                     27.3  6.0
 3632M                                                     52.2  9.8
 3638M                                                     51.2  8.6
 3639M                                                     35.3  6.7
 3640M                                                     17.8  5.4
 3643M                                                     37.9  9.7
 3644M                                                     31.7  8.6
 3645M                                                     23.9  3.9
 3647M                                                     40.4  9.3
 3659M                                                     26.2  2.4
 3660M                                                     30.9  5.9
 3666M                                                     23.7  5.1
 2591M                           10.4  0.0                          
 3601M                            3.4  0.0                          
 3602M                           14.6  0.0                          
 3603M                            2.2  0.0                          
 3604M                            3.7  0.0                          
 3605M                            2.8  0.0                          
 3607M                            5.0  0.0                          
 3608M                            1.4  0.0                          
 3609M                            3.4  0.0                          
 3611M                            2.3  0.0                          
 3612M                            7.0  0.0                          
 3613M                            1.3  0.0                          
 3614M                            0.5  0.0                          
 3615M                            0.1  0.0                          
 3616M                            0.8  0.0                          
 3617M                            2.0  0.0                          
 3619M                            4.3  0.0                          
 3620M                            2.3  0.0                          
 3621M                            4.0  0.0                          
 3622M                            6.6  0.0                          
 3625M                            0.9  0.0                          
 3626M                            1.3  0.0                          
 3627M                            4.4  0.0                          
 3628M                            5.3  0.0                          
 3632M                            1.3  0.0                          
 3638M                            5.3  0.0                          
 3639M                            1.7  0.0                          
 3640M                            1.5  0.0                          
 3643M                            1.5  0.0                          
 3644M                           11.9  0.0                          
 3645M                            1.2  0.0                          
 3647M                            3.4  0.0                          
 3659M                            0.5  0.0                          
 3660M                            0.7  0.0                          
 3666M                            1.9  0.0
99999 
EXLF                         
TITU
DECK REGIAO SUL AUMENTO DE TENS�O
ARQV GRAV SUBS
4
FIM
